Date,Symbol,Name,Tech Rating,MA Rating,Os Rating,RSI (14),Mom (10),AO,CCI (20)
2026-03-11,HDFCBANK,HDFC Bank Ltd,Neutral,Neutral,Neutral,,,,
2026-03-12,HDFCBANK,HDFC Bank Ltd,Neutral,Neutral,Neutral,,,,
2026-03-13,HDFCBANK,HDFC Bank Ltd,Neutral,Neutral,Neutral,,,,
2026-03-16,HDFCBANK,HDFC Bank Ltd,Neutral,Neutral,Neutral,,,,
2026-03-17,HDFCBANK,HDFC Bank Ltd,Neutral,Neutral,Neutral,,,,
2026-03-18,HDFCBANK,HDFC Bank Ltd,Neutral,Neutral,Neutral,,,,
2026-03-19,HDFCBANK,HDFC Bank Ltd,Neutral,Neutral,Neutral,,,,
2026-03-20,HDFCBANK,HDFC Bank Ltd,Neutral,Neutral,Neutral,,,,
2026-03-23,HDFCBANK,HDFC Bank Ltd,Neutral,Neutral,Neutral,,,,
2026-03-24,HDFCBANK,HDFC Bank Ltd,Neutral,Neutral,Neutral,,,,
2026-03-25,HDFCBANK,HDFC Bank Ltd,Sell,Neutral,Neutral,,-6.19,,
2026-03-27,HDFCBANK,HDFC Bank Ltd,Sell,Neutral,Neutral,,-9.19,,
2026-03-30,HDFCBANK,HDFC Bank Ltd,Sell,Neutral,Neutral,,-10.46,,
2026-04-01,HDFCBANK,HDFC Bank Ltd,Neutral,Neutral,Buy,31.43,-11.7,,
2026-04-02,HDFCBANK,HDFC Bank Ltd,Neutral,Neutral,Buy,34.97,-11.17,,
2026-04-06,HDFCBANK,HDFC Bank Ltd,Sell,Neutral,Neutral,42.41,-8.55,,
2026-04-07,HDFCBANK,HDFC Bank Ltd,Neutral,Neutral,Neutral,42.77,-3.28,,
2026-04-08,HDFCBANK,HDFC Bank Ltd,Neutral,Neutral,Neutral,55.62,4.57,,
2026-04-09,HDFCBANK,HDFC Bank Ltd,Buy,Neutral,Neutral,50.52,7.2,,
2026-04-10,HDFCBANK,HDFC Bank Ltd,Buy,Buy,Neutral,53.65,5.94,,36.77
2026-04-13,HDFCBANK,HDFC Bank Ltd,Neutral,Buy,Neutral,49.48,1.59,,11.31
2026-04-15,HDFCBANK,HDFC Bank Ltd,Buy,Buy,Neutral,53.29,7.1,,52.74
2026-04-16,HDFCBANK,HDFC Bank Ltd,Buy,Buy,Neutral,49.47,8.73,,38.77
2026-04-17,HDFCBANK,HDFC Bank Ltd,Buy,Buy,Neutral,50.64,7.77,,32.54
2026-04-20,HDFCBANK,HDFC Bank Ltd,Buy,Buy,Neutral,49.4,5.93,,45.19
2026-04-21,HDFCBANK,HDFC Bank Ltd,Buy,Buy,Neutral,53.85,5.29,,80.49
2026-04-22,HDFCBANK,HDFC Bank Ltd,Neutral,Buy,Neutral,50.38,3.61,,66.78
2026-04-23,HDFCBANK,HDFC Bank Ltd,Neutral,Buy,Neutral,46.18,-3.89,,18.13
2026-04-24,HDFCBANK,HDFC Bank Ltd,Neutral,Buy,Neutral,46.34,-1.61,,-0.84
2026-04-27,HDFCBANK,HDFC Bank Ltd,Neutral,Buy,Neutral,47.94,-2.53,,15.48
